
Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Bottom of the 2nd Phillies Batting Tied 0-0 Nationals' Tanner Roark facing 6-7-8,Bottom of the 2nd Phillies Batting Tied 0-0 Nationals' Tanner Roark facing 6-7-8,Bottom of the 2nd Phillies Batting Tied 0-0 Nationals' Tanner Roark facing 6-7-8,Bottom of the 2nd Phillies Batting Tied 0-0 Nationals' Tanner Roark facing 6-7-8,Bottom of the 2nd Phillies Batting Tied 0-0 Nationals' Tanner Roark facing 6-7-8,Bottom of the 2nd Phillies Batting Tied 0-0 Nationals' Tanner Roark facing 6-7-8,Bottom of the 2nd Phillies Batting Tied 0-0 Nationals' Tanner Roark facing 6-7-8,Bottom of the 2nd Phillies Batting Tied 0-0 Nationals' Tanner Roark facing 6-7-8,Bottom of the 2nd Phillies Batting Tied 0-0 Nationals' Tanner Roark facing 6-7-8,Bottom of the 2nd Phillies Batting Tied 0-0 Nationals' Tanner Roark facing 6-7-8,Bottom of the 2nd Phillies Batting Tied 0-0 Nationals' Tanner Roark facing 6-7-8,Bottom of the 2nd Phillies Batting Tied 0-0 Nationals' Tanner Roark facing 6-7-8
b2,0-0,0,---,2(0-1) CX,,PHI,C. Asche,T. Roark,4%,59%,Single to CF (Ground Ball thru SS-2B)
b2,0-0,0,1--,6(3-2) CBCBB1X,O,PHI,C. Ruiz,T. Roark,-3%,55%,Popfly: SS (Deep SS-2B)
b2,0-0,1,1--,7(2-2) CB1*B1CF&gt;FX,,PHI,A. Blanco,T. Roark,9%,64%,Double to RF (Line Drive to RF Line); Asche to 3B
b2,0-0,1,-23,5(1-2) CBSFX,RO,PHI,S. Gonzalez,T. Roark,1%,66%,Groundout: 1B unassisted (Weak 1B); Asche Scores; Blanco to 3B
b2,1-0,2,--3,3(0-2) FSX,R,PHI,O. Herrera,T. Roark,9%,74%,Single to 2B (Ground Ball); Blanco Scores
b2,2-0,2,1--,4(1-2) FCB&gt;X,,PHI,C. Hernandez,T. Roark,2%,76%,Single to LF (Ground Ball); Herrera to 3B
b2,2-0,2,1-3,4(1-2) FSB&gt;X,R,PHI,M. Franco,T. Roark,7%,83%,Single to SS (Ground Ball to SS-2B); Herrera Scores; Hernandez to 2B
b2,3-0,2,12-,2(1-0) BX,R,PHI,D. Brown,T. Roark,6%,89%,Single to CF (Ground Ball); Hernandez Scores; Franco to 3B
b2,4-0,2,1-3,2(0-1) CX,O,PHI,D. Ruf,T. Roark,-2%,88%,Lineout: CF (Deep CF)
,,,,,,,,,4 runs 6 hits 0 errors 2 LOB. Nationals 0 Phillies 4.,4 runs 6 hits 0 errors 2 LOB. Nationals 0 Phillies 4.,4 runs 6 hits 0 errors 2 LOB. Nationals 0 Phillies 4.
