
Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3
Top of the 7th Braves Batting Behind 0-6 Nationals' Doug Fister facing 5-6-7,Top of the 7th Braves Batting Behind 0-6 Nationals' Doug Fister facing 5-6-7,Top of the 7th Braves Batting Behind 0-6 Nationals' Doug Fister facing 5-6-7,Top of the 7th Braves Batting Behind 0-6 Nationals' Doug Fister facing 5-6-7,Top of the 7th Braves Batting Behind 0-6 Nationals' Doug Fister facing 5-6-7,Top of the 7th Braves Batting Behind 0-6 Nationals' Doug Fister facing 5-6-7,Top of the 7th Braves Batting Behind 0-6 Nationals' Doug Fister facing 5-6-7,Top of the 7th Braves Batting Behind 0-6 Nationals' Doug Fister facing 5-6-7,Top of the 7th Braves Batting Behind 0-6 Nationals' Doug Fister facing 5-6-7,Top of the 7th Braves Batting Behind 0-6 Nationals' Doug Fister facing 5-6-7,Top of the 7th Braves Batting Behind 0-6 Nationals' Doug Fister facing 5-6-7,Top of the 7th Braves Batting Behind 0-6 Nationals' Doug Fister facing 5-6-7
t7,0-6,0,---,6(2-2) CFBFBC,O,ATL,J. Terdoslavich,D. Fister,0%,99%,Strikeout Looking
t7,0-6,1,---,3(0-2) CTX,O,ATL,K. Johnson,D. Fister,0%,99%,Lineout: 2B (2B-1B)
t7,0-6,2,---,6(3-2) BSBFBB,,ATL,J. Gomes,D. Fister,-0%,99%,Walk
t7,0-6,2,1--,2(0-1) CX,O,ATL,P. Ciriaco,D. Fister,0%,99%,Flyball: CF
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Braves 0 Nationals 6.,0 runs 0 hits 0 errors 1 LOB. Braves 0 Nationals 6.,0 runs 0 hits 0 errors 1 LOB. Braves 0 Nationals 6.
Bottom of the 7th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 3-4-5,Bottom of the 7th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 3-4-5,Bottom of the 7th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 3-4-5,Bottom of the 7th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 3-4-5,Bottom of the 7th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 3-4-5,Bottom of the 7th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 3-4-5,Bottom of the 7th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 3-4-5,Bottom of the 7th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 3-4-5,Bottom of the 7th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 3-4-5,Bottom of the 7th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 3-4-5,Bottom of the 7th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 3-4-5,Bottom of the 7th Nationals Batting Ahead 6-0 Braves' David Aardsma facing 3-4-5
b7,6-0,0,---,5(2-2) BCBFS,O,WSN,Y. Escobar,D. Aardsma,-0%,99%,Strikeout Swinging
b7,6-0,1,---,7(3-2) BFBCFBB,,WSN,C. Robinson,D. Aardsma,0%,99%,Walk
b7,6-0,1,1--,1(0-0) X,OO,WSN,W. Ramos,D. Aardsma,-0%,99%,Ground Ball Double Play: SS-2B-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 6.,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 6.,0 runs 0 hits 0 errors 0 LOB. Braves 0 Nationals 6.
Top of the 8th Braves Batting Behind 0-6 Nationals' Blake Treinen facing 9-1-2,Top of the 8th Braves Batting Behind 0-6 Nationals' Blake Treinen facing 9-1-2,Top of the 8th Braves Batting Behind 0-6 Nationals' Blake Treinen facing 9-1-2,Top of the 8th Braves Batting Behind 0-6 Nationals' Blake Treinen facing 9-1-2,Top of the 8th Braves Batting Behind 0-6 Nationals' Blake Treinen facing 9-1-2,Top of the 8th Braves Batting Behind 0-6 Nationals' Blake Treinen facing 9-1-2,Top of the 8th Braves Batting Behind 0-6 Nationals' Blake Treinen facing 9-1-2,Top of the 8th Braves Batting Behind 0-6 Nationals' Blake Treinen facing 9-1-2,Top of the 8th Braves Batting Behind 0-6 Nationals' Blake Treinen facing 9-1-2,Top of the 8th Braves Batting Behind 0-6 Nationals' Blake Treinen facing 9-1-2,Top of the 8th Braves Batting Behind 0-6 Nationals' Blake Treinen facing 9-1-2,Top of the 8th Braves Batting Behind 0-6 Nationals' Blake Treinen facing 9-1-2
,,,,,,,,,Blake Treinen replaces Clint Robinson (RF) pitching and batting 4thMatt den Dekker replaces Doug Fister (P) playing RF batting 9thChris Johnson pinch hits for David Aardsma (P) batting 9th,Blake Treinen replaces Clint Robinson (RF) pitching and batting 4thMatt den Dekker replaces Doug Fister (P) playing RF batting 9thChris Johnson pinch hits for David Aardsma (P) batting 9th,Blake Treinen replaces Clint Robinson (RF) pitching and batting 4thMatt den Dekker replaces Doug Fister (P) playing RF batting 9thChris Johnson pinch hits for David Aardsma (P) batting 9th
t8,0-6,0,---,7(2-2) ...CCBBFFC,O,ATL,C. Johnson,B. Treinen,0%,100%,Strikeout Looking
t8,0-6,1,---,4(1-2) FBF*S,O,ATL,J. Peterson,B. Treinen,0%,100%,Strikeout Swinging
t8,0-6,2,---,4(2-1) FBBX,,ATL,C. Maybin,B. Treinen,-0%,100%,Single to 3B (Ground Ball to Weak SS)
t8,0-6,2,1--,3(1-1) FBX,O,ATL,N. Markakis,B. Treinen,0%,100%,Groundout: SS-1B (Weak SS)
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Braves 0 Nationals 6.,0 runs 1 hit 0 errors 1 LOB. Braves 0 Nationals 6.,0 runs 1 hit 0 errors 1 LOB. Braves 0 Nationals 6.
Bottom of the 8th Nationals Batting Ahead 6-0 Braves' Brandon Cunniff facing 6-7-8,Bottom of the 8th Nationals Batting Ahead 6-0 Braves' Brandon Cunniff facing 6-7-8,Bottom of the 8th Nationals Batting Ahead 6-0 Braves' Brandon Cunniff facing 6-7-8,Bottom of the 8th Nationals Batting Ahead 6-0 Braves' Brandon Cunniff facing 6-7-8,Bottom of the 8th Nationals Batting Ahead 6-0 Braves' Brandon Cunniff facing 6-7-8,Bottom of the 8th Nationals Batting Ahead 6-0 Braves' Brandon Cunniff facing 6-7-8,Bottom of the 8th Nationals Batting Ahead 6-0 Braves' Brandon Cunniff facing 6-7-8,Bottom of the 8th Nationals Batting Ahead 6-0 Braves' Brandon Cunniff facing 6-7-8,Bottom of the 8th Nationals Batting Ahead 6-0 Braves' Brandon Cunniff facing 6-7-8,Bottom of the 8th Nationals Batting Ahead 6-0 Braves' Brandon Cunniff facing 6-7-8,Bottom of the 8th Nationals Batting Ahead 6-0 Braves' Brandon Cunniff facing 6-7-8,Bottom of the 8th Nationals Batting Ahead 6-0 Braves' Brandon Cunniff facing 6-7-8
,,,,,,,,,Brandon Cunniff replaces Nick Markakis (RF) pitching and batting 3rdChris Johnson moves from PH to 3B Kelly Johnson moves from 3B to RF,Brandon Cunniff replaces Nick Markakis (RF) pitching and batting 3rdChris Johnson moves from PH to 3B Kelly Johnson moves from 3B to RF,Brandon Cunniff replaces Nick Markakis (RF) pitching and batting 3rdChris Johnson moves from PH to 3B Kelly Johnson moves from 3B to RF
b8,6-0,0,---,5(1-2) ...CFFBX,,WSN,I. Desmond,B. Cunniff,0%,100%,Single to CF (Ground Ball thru SS-2B)
b8,6-0,0,1--,3(0-2) CFX,O,WSN,T. Moore,B. Cunniff,-0%,100%,Foul Flyball: RF (RF Foul)
b8,6-0,1,1--,2(0-1) FX,O,WSN,M. Taylor,B. Cunniff,0%,100%,Groundout: 3B-2B/Forceout at 2B; Taylor to 2B/Adv on E4 (throw)
b8,6-0,2,-2-,2(1-0) BX,R,WSN,M. den Dekker,B. Cunniff,0%,100%,Single to CF (Line Drive to CF-RF); Taylor Scores/unER
b8,7-0,2,1--,7(3-2) CSBBFB&gt;S,O,WSN,D. Span,B. Cunniff,-0%,100%,Strikeout Swinging
,,,,,,,,,1 run 2 hits 1 error 1 LOB. Braves 0 Nationals 7.,1 run 2 hits 1 error 1 LOB. Braves 0 Nationals 7.,1 run 2 hits 1 error 1 LOB. Braves 0 Nationals 7.
Top of the 9th Braves Batting Behind 0-7 Nationals' Blake Treinen facing 4-5-6,Top of the 9th Braves Batting Behind 0-7 Nationals' Blake Treinen facing 4-5-6,Top of the 9th Braves Batting Behind 0-7 Nationals' Blake Treinen facing 4-5-6,Top of the 9th Braves Batting Behind 0-7 Nationals' Blake Treinen facing 4-5-6,Top of the 9th Braves Batting Behind 0-7 Nationals' Blake Treinen facing 4-5-6,Top of the 9th Braves Batting Behind 0-7 Nationals' Blake Treinen facing 4-5-6,Top of the 9th Braves Batting Behind 0-7 Nationals' Blake Treinen facing 4-5-6,Top of the 9th Braves Batting Behind 0-7 Nationals' Blake Treinen facing 4-5-6,Top of the 9th Braves Batting Behind 0-7 Nationals' Blake Treinen facing 4-5-6,Top of the 9th Braves Batting Behind 0-7 Nationals' Blake Treinen facing 4-5-6,Top of the 9th Braves Batting Behind 0-7 Nationals' Blake Treinen facing 4-5-6,Top of the 9th Braves Batting Behind 0-7 Nationals' Blake Treinen facing 4-5-6
t9,0-7,0,---,3(1-1) BCX,O,ATL,A. Pierzynski,B. Treinen,0%,100%,Groundout: 3B-1B
t9,0-7,1,---,2(1-0) BX,O,ATL,J. Terdoslavich,B. Treinen,0%,100%,Groundout: 2B-1B (2B-1B)
t9,0-7,2,---,8(3-2) BBBCFFFX,,ATL,K. Johnson,B. Treinen,-0%,100%,Single to RF (Line Drive to Deep RF Line)
t9,0-7,2,1--,1(0-0) X,O,ATL,J. Gomes,B. Treinen,0%,100%,Groundout: 2B unassisted/Forceout at 2B (SS-2B)
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Braves 0 Nationals 7.,0 runs 1 hit 0 errors 1 LOB. Braves 0 Nationals 7.,0 runs 1 hit 0 errors 1 LOB. Braves 0 Nationals 7.
