
Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Doug Fister facing 1-2-3
Bottom of the 2nd Nationals Batting Ahead 1-0 Braves' Matt Wisler facing 5-6-7,Bottom of the 2nd Nationals Batting Ahead 1-0 Braves' Matt Wisler facing 5-6-7,Bottom of the 2nd Nationals Batting Ahead 1-0 Braves' Matt Wisler facing 5-6-7,Bottom of the 2nd Nationals Batting Ahead 1-0 Braves' Matt Wisler facing 5-6-7,Bottom of the 2nd Nationals Batting Ahead 1-0 Braves' Matt Wisler facing 5-6-7,Bottom of the 2nd Nationals Batting Ahead 1-0 Braves' Matt Wisler facing 5-6-7,Bottom of the 2nd Nationals Batting Ahead 1-0 Braves' Matt Wisler facing 5-6-7,Bottom of the 2nd Nationals Batting Ahead 1-0 Braves' Matt Wisler facing 5-6-7,Bottom of the 2nd Nationals Batting Ahead 1-0 Braves' Matt Wisler facing 5-6-7,Bottom of the 2nd Nationals Batting Ahead 1-0 Braves' Matt Wisler facing 5-6-7,Bottom of the 2nd Nationals Batting Ahead 1-0 Braves' Matt Wisler facing 5-6-7,Bottom of the 2nd Nationals Batting Ahead 1-0 Braves' Matt Wisler facing 5-6-7
b2,1-0,0,---,2(0-1) CX,,WSN,W. Ramos,M. Wisler,6%,72%,Double to CF (Line Drive to Deep CF)
b2,1-0,0,-2-,4(2-1) MB*BX,R,WSN,I. Desmond,M. Wisler,8%,80%,Reached on E5 (throw) (Ground Ball); Ramos Scores/No RBI; Desmond to 2B
b2,2-0,0,-2-,5(2-2) BFFBX,O,WSN,T. Moore,M. Wisler,-3%,77%,Groundout: SS-1B
b2,2-0,1,-2-,3(1-1) BCX,R,WSN,M. Taylor,M. Wisler,7%,85%,Double to CF (Fly Ball to Deep CF); Desmond Scores/unER
b2,3-0,1,-2-,1(0-0) X,O,WSN,D. Fister,M. Wisler,-2%,83%,Lineout: LF
b2,3-0,2,-2-,6(3-2) BBFBFX,O,WSN,D. Span,M. Wisler,-2%,81%,Foul Popfly: 1B (Behind Home)
,,,,,,,,,2 runs 2 hits 1 error 1 LOB. Braves 0 Nationals 3.,2 runs 2 hits 1 error 1 LOB. Braves 0 Nationals 3.,2 runs 2 hits 1 error 1 LOB. Braves 0 Nationals 3.
Top of the 3rd Braves Batting Behind 0-3 Nationals' Doug Fister facing 8-9-1,Top of the 3rd Braves Batting Behind 0-3 Nationals' Doug Fister facing 8-9-1,Top of the 3rd Braves Batting Behind 0-3 Nationals' Doug Fister facing 8-9-1,Top of the 3rd Braves Batting Behind 0-3 Nationals' Doug Fister facing 8-9-1,Top of the 3rd Braves Batting Behind 0-3 Nationals' Doug Fister facing 8-9-1,Top of the 3rd Braves Batting Behind 0-3 Nationals' Doug Fister facing 8-9-1,Top of the 3rd Braves Batting Behind 0-3 Nationals' Doug Fister facing 8-9-1,Top of the 3rd Braves Batting Behind 0-3 Nationals' Doug Fister facing 8-9-1,Top of the 3rd Braves Batting Behind 0-3 Nationals' Doug Fister facing 8-9-1,Top of the 3rd Braves Batting Behind 0-3 Nationals' Doug Fister facing 8-9-1,Top of the 3rd Braves Batting Behind 0-3 Nationals' Doug Fister facing 8-9-1,Top of the 3rd Braves Batting Behind 0-3 Nationals' Doug Fister facing 8-9-1
t3,0-3,0,---,5(2-2) BBCFX,,ATL,P. Ciriaco,D. Fister,-4%,78%,Single to P (Ground Ball to Short 3B Line)
